2026-02-12 21:02:29.536 +02:00 [INF] Getting all baskets {"SourceContext":"ChineseSale.Controllers.BasketController","ActionId":"cb984197-2020-4f16-afa2-a696602f99fa","ActionName":"ChineseSale.Controllers.BasketController.GetAllBasketsAsync (ChineseSale)","RequestId":"0HNJAD4Q35244:00000009","RequestPath":"/api/Basket","ConnectionId":"0HNJAD4Q35244"}
2026-02-12 21:02:45.126 +02:00 [INF] Getting all categories. {"SourceContext":"ChineseSale.Controllers.CategoryController","ActionId":"6aea0a1c-b186-4f8f-b216-e27ad1121b13","ActionName":"ChineseSale.Controllers.CategoryController.GetAllCategoryAsync (ChineseSale)","RequestId":"0HNJAD4Q35244:0000000B","RequestPath":"/api/Category","ConnectionId":"0HNJAD4Q35244"}
2026-02-12 21:02:54.132 +02:00 [INF] Getting all donors {"SourceContext":"ChineseSale.Controllers.DonorController","ActionId":"34de3501-9649-44fd-bbea-06918349f018","ActionName":"ChineseSale.Controllers.DonorController.GetAllDonorAsync (ChineseSale)","RequestId":"0HNJAD4Q35244:0000000D","RequestPath":"/api/Donor","ConnectionId":"0HNJAD4Q35244"}
2026-02-12 21:04:51.137 +02:00 [INF] Getting basket for User ID: 7032 {"SourceContext":"ChineseSale.Controllers.BasketController","ActionId":"3adfe526-792d-464a-bfcd-0e5d94447b66","ActionName":"ChineseSale.Controllers.BasketController.GetBasketByUserIdAsync (ChineseSale)","RequestId":"0HNJAD4Q35245:00000001","RequestPath":"/api/Basket/ByUserId/7032","ConnectionId":"0HNJAD4Q35245"}
2026-02-12 21:04:51.335 +02:00 [INF] Fetching all packages... {"SourceContext":"ChineseSale.Controllers.PackageController","ActionId":"8c1375bd-9697-4ea6-880d-6bd7c78e96ff","ActionName":"ChineseSale.Controllers.PackageController.GetAllPackageAsync (ChineseSale)","RequestId":"0HNJAD4Q35245:00000003","RequestPath":"/api/Package","ConnectionId":"0HNJAD4Q35245"}
2026-02-12 21:04:51.719 +02:00 [ERR] Error retrieving basket for User ID: 7032 {"SourceContext":"ChineseSale.Controllers.BasketController","ActionId":"3adfe526-792d-464a-bfcd-0e5d94447b66","ActionName":"ChineseSale.Controllers.BasketController.GetBasketByUserIdAsync (ChineseSale)","RequestId":"0HNJAD4Q35245:00000001","RequestPath":"/api/Basket/ByUserId/7032","ConnectionId":"0HNJAD4Q35245"}
System.ArgumentException: basket not found
   at ChineseSale.Services.BasketService.GetBasketByUserIdAsync(Int32 UserId) in C:\Users\user\Desktop\pi\Api-Angular\ChineseSale\ChineseSale\Services\BasketService.cs:line 120
   at ChineseSale.Controllers.BasketController.GetBasketByUserIdAsync(Int32 UserId) in C:\Users\user\Desktop\pi\Api-Angular\ChineseSale\ChineseSale\Controllers\BasketController.cs:line 52
2026-02-12 21:04:56.551 +02:00 [INF] Getting basket for User ID: 7032 {"SourceContext":"ChineseSale.Controllers.BasketController","ActionId":"3adfe526-792d-464a-bfcd-0e5d94447b66","ActionName":"ChineseSale.Controllers.BasketController.GetBasketByUserIdAsync (ChineseSale)","RequestId":"0HNJAD4Q35245:00000005","RequestPath":"/api/Basket/ByUserId/7032","ConnectionId":"0HNJAD4Q35245"}
2026-02-12 21:04:56.572 +02:00 [ERR] Error retrieving basket for User ID: 7032 {"SourceContext":"ChineseSale.Controllers.BasketController","ActionId":"3adfe526-792d-464a-bfcd-0e5d94447b66","ActionName":"ChineseSale.Controllers.BasketController.GetBasketByUserIdAsync (ChineseSale)","RequestId":"0HNJAD4Q35245:00000005","RequestPath":"/api/Basket/ByUserId/7032","ConnectionId":"0HNJAD4Q35245"}
System.ArgumentException: basket not found
   at ChineseSale.Services.BasketService.GetBasketByUserIdAsync(Int32 UserId) in C:\Users\user\Desktop\pi\Api-Angular\ChineseSale\ChineseSale\Services\BasketService.cs:line 120
   at ChineseSale.Controllers.BasketController.GetBasketByUserIdAsync(Int32 UserId) in C:\Users\user\Desktop\pi\Api-Angular\ChineseSale\ChineseSale\Controllers\BasketController.cs:line 52
2026-02-12 21:04:56.657 +02:00 [INF] Creating a new basket {"SourceContext":"ChineseSale.Controllers.BasketController","ActionId":"54471eda-3cfd-48d9-9030-7b6d5e80c320","ActionName":"ChineseSale.Controllers.BasketController.CreateBasketAsync (ChineseSale)","RequestId":"0HNJAD4Q35245:00000009","RequestPath":"/api/Basket/Add","ConnectionId":"0HNJAD4Q35245"}
